Year,Access to electricity (% of population),GDP (current US$),GDP growth (annual %),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Population, total","School enrollment, primary (% gross)"
1960,,791265459.493816,,,1.24378109452731,48.477,7695307.0,
1961,,792959472.816211,-7.77463490371655,,2.45700245700254,49.33,7987770.0,
1962,,868111400.75544,9.45735874072126,,3.11750599520378,50.104,8299308.0,
1963,,926589349.36426,8.77834021621184,,0.697674418604589,50.758,8627971.0,
1964,,998759334.496266,4.96446728844091,,-0.0993048669314341,51.323,8973535.0,
1965,,997919320.832272,2.00909417103099,,3.57852882806742,51.886,9338078.0,
1966,,1164519674.19213,14.7285664015687,,5.01439539323414,52.383,9717816.0,
1967,,1232559506.9762,3.36123203258556,,1.75919579598299,52.796,10111057.0,
1968,,1353295458.68182,7.9826899693479,,0.366711570051019,53.302,10518823.0,
1969,,1458379416.64823,7.9592244594956,,-0.17150100656233,53.734,10939695.0,
1970,,1603447358.62106,-4.65544691647621,,2.18852703907439,54.143,11368791.0,60.2659912109375
1971,,1778391288.64348,22.1738919255764,,3.78020612544907,54.543,11788904.0,61.7012405395508
1972,,2107279157.08834,17.082429349983,,5.83164474311005,55.013,12206060.0,65.2331085205078
1973,,2509001324.34591,5.89658021016672,,9.28119422332106,55.5,12634835.0,67.9078598022461
1974,,2969958812.01648,4.06561734893735,,17.8099480331818,56.039,13070078.0,100.311813354492
1975,,3259345083.26283,0.882203175319148,,19.1201840136051,56.62,13511671.0,102.894416809082
1976,,3474542391.69992,2.15396450322561,,11.4490304932756,57.153,13957623.0,99.1563110351562
1977,,4494378764.32011,9.45379784408087,,14.8209644818935,57.684,14428819.0,98.9096374511719
1978,,5303735110.55151,6.91249354626197,,16.9317824582842,58.234,14934126.0,95.5679321289062
1979,,6234391113.46434,7.61522604591983,,7.97935261848786,58.691,15460666.0,115.58464050293
1980,,7265315820.20777,5.5919762059677,,13.8581814562484,59.175,16018459.0,117.302932739258
1981,,6854491705.88377,3.77354419402822,,11.6030534351142,59.562,16601507.0,115.051246643066
1982,,6431579356.95926,1.50647825757706,,20.6667146662827,59.904,17206175.0,117.921989440918
1983,,5979198313.76093,1.3090502411486,,11.3977827368523,60.342,17846374.0,118.230651855469
1984,,6191437070.18411,1.75521697703473,,10.284098213138,60.611,18514906.0,114.483093261719
1985,,6135034213.78998,4.30056181879613,,13.0065664218827,60.856,19201768.0,109.841903686523
1986,,7239126568.14092,7.17755539065963,,2.53427598892888,60.818,19901646.0,109.913497924805
1987,,7970820369.2949,5.93710744420895,,8.63767318980084,60.721,20616096.0,109.734260559082
1988,,8355380879.12955,6.20318382314591,,12.2649630481582,60.32,21356219.0,108.00080871582
1989,,8283114514.17081,4.69034876792047,,13.7893172763883,59.99,22118434.0,108.858200073242
1990,,8572359038.16958,4.19205097155167,0.0,17.78181442992,58.334,22892651.0,105.313667297363
1991,,8151488783.19064,1.43834679171559,,20.0844955754632,57.826,23646514.0,103.02709197998
1992,,8209120763.04955,-0.799493958641349,,27.3323644475784,57.095,24382460.0,101.50138092041
1993,10.9,5751786642.55871,0.353197256227247,,45.9788813036218,56.668,25117188.0,100.392936706543
1994,3.47343683242798,7148148564.04239,2.632784517837,,28.8143894306731,56.101,25857130.0,96.3266296386719
1995,5.42734336853027,9046320255.40507,4.40621652482287,0.000727,1.55432816055009,55.856,26601751.0,93.3242416381836
1996,7.37853050231934,12045865396.1323,4.14683926876013,0.00884,8.86408741577522,55.575,27344211.0,
1997,9.32631778717041,13115764358.2846,0.474901921293579,0.0344,11.3618450505783,55.478,28101768.0,
1998,14.5,14093998843.7334,3.29021372249065,0.0503,6.72243650753928,55.568,28888057.0,92.9180221557617
1999,13.2088918685913,12896010459.3711,2.30538859522412,0.114,5.74200109520484,55.866,29733408.0,90.6962814331055
2000,15.2,12705350097.8044,0.599695390807426,0.318059713612037,9.98002515350979,56.084,30642890.0,94.2572402954102
2001,17.0,12986007425.8781,3.77990649795343,0.619782266151425,5.73859814341467,56.501,31619170.0,95.1509170532227
2002,18.9,13147736898.5176,0.546859530175595,1.20777388492125,1.96130821739162,56.759,32629808.0,89.2491912841797
2003,16.0,14904517649.8476,2.93247554570904,2.94190286101524,9.81569062979654,57.369,33652223.0,103.90389251709
2004,22.6,16095337093.8366,5.10429977629738,3.0235280420962,11.6240355442426,57.947,34713455.0,103.729431152344
2005,24.5,18737895512.7378,5.90666607980057,3.101900101,10.3127783574683,58.51,35796484.0,103.62956237793
2006,26.4,25825512284.2891,6.47249430015484,3.599999905,14.4537342081708,59.059,36904008.0,101.201988220215
2007,28.3,31958195182.2406,6.85072976998784,4.400000095,9.75888023027529,59.407,38036349.0,107.582710266113
2008,30.3,35895153327.8497,0.232282744812977,5.199999809,26.2398166445063,59.955,39206351.0,107.076469421387
2009,23.0,42347217912.9176,3.30693981631089,6.1,9.23412592394652,60.483,40408891.0,107.945739746094
2010,19.2,45405615063.7551,8.05847360290906,7.2,3.96138889115385,60.915,41598567.0,
2011,36.2,46869473150.61,5.1211061197056,8.800000191,14.0224913014704,61.283,42758461.0,
2012,38.1,56396704671.5777,4.56867961444982,10.5,9.37777003547598,61.537,43888303.0,111.422226680456
2013,40.1,61671440407.8387,3.7978483925754,13.0,5.71749357037733,61.729,44986791.0,
2014,36.0,68285796514.2896,5.02011100232484,16.5,6.87815499275949,61.99,46051440.0,107.141220092773
2015,41.6,70120446896.8359,4.96772112759767,16.5878548475992,6.58215429284779,62.279,47088526.0,104.780090332031
2016,53.1,74815144163.8931,4.21351706814744,16.6,6.29724953814625,62.526,48139687.0,104.114852905273
2017,55.8,82036510877.2599,3.83795817364721,17.82710075,8.00564967709945,62.725,49197766.0,101.957891317521
2018,61.2,92202979985.2863,5.64794640709219,19.5,4.6898064677633,62.825,50207107.0,99.770420205161
2019,69.7,100378436207.371,5.11415885767801,22.6687733618171,5.23963795764792,62.939,51202827.0,77.5132254988803
2020,71.5,100657505750.545,-0.272766327438816,24.7227993,5.40516207933392,61.596,52217334.0,91.9542486020668
2021,76.5,109703658904.994,7.59048947333467,26.96290016,6.10793603659176,61.225,53219166.0,93.7669067632864
2022,76.0,114448978152.637,4.85998104287999,29.40589905,7.65986268272224,63.549,54252461.0,98.551967362001
2023,76.2,107500884685.013,5.71999241214208,32.07040024,7.67139634029402,63.646,55339003.0,98.2483475806861
2024,,120339557905.932,4.72473994710138,34.97622513,4.48978854243448,63.834,56432944.0,
