Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1960,48.477
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,8.23352130661889
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1961,49.33
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,8.43593866814932
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1961,3.73009594178482
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1962,50.104
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,8.63407949596207
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1962,3.82605158835613
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1963,50.758
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,8.81534505126462
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1963,3.88372295387027
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1964,51.323
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,8.9723034255813
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1964,3.92703224813929
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1965,51.886
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,9.11698114874609
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1965,3.98207596273243
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1966,52.383
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,9.26227467484218
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1966,3.98604523872044
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1967,52.796
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,9.42108045795278
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1967,3.96686756505209
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1968,53.302
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,9.60629495216106
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1968,3.9536741403055
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1969,53.734
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,9.82929171820225
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1969,3.92315983423203
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1970,54.143
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,10.1439264299252
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1970,3.84740523915883
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1970,60.2659912109375
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1971,54.543
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,10.5964179687854
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1971,3.62867804375875
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1971,61.7012405395508
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1972,55.013
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,11.1579861872809
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1972,3.47737996329827
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1972,65.2331085205078
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1973,55.5
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,11.7970225025571
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1973,3.45251320661983
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1973,67.9078598022461
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1974,56.039
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,12.4819183317594
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1974,3.38678136919723
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1974,100.311813354492
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1975,56.62
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,13.1810650920333
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1975,3.3228334998343
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1975,102.894416809082
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1976,57.153
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,13.8628542005242
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1976,3.24719801479584
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1976,99.1563110351562
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1977,57.684
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,14.4956770743776
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1977,3.32017154246189
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1977,98.9096374511719
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1978,58.234
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,15.0479251307389
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1978,3.44214036466766
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1978,95.5679321289062
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1979,58.691
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,15.4844182465257
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1979,3.46501914434705
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1979,115.58464050293
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1980,59.175
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,15.8352387726023
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1980,3.54426236090347
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1980,117.302932739258
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1981,59.562
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,16.16414108945
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1981,3.57517296207229
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1981,115.051246643066
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1982,59.904
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,16.4751642144151
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1982,3.57748566435714
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1982,117.921989440918
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1983,60.342
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,16.7672965803142
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1983,3.65320193175194
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1983,118.230651855469
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1984,60.611
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,17.0395266199639
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1984,3.67757870524855
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1984,114.483093261719
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1985,60.856
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,17.2908427661806
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1985,3.64262207395944
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1985,109.841903686523
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1986,60.818
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,17.5202334517811
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1986,3.5800083750048
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1986,109.913497924805
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1987,60.721
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,17.7266871095817
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1987,3.52696880389304
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1987,109.734260559082
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1988,60.32
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,17.9091921723993
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1988,3.52708553980729
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1988,108.00080871582
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1989,59.99
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,18.0668782773996
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1989,3.50683931732563
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1989,108.858200073242
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,58.334
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,18.1962956954221
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1990,3.44045635367696
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1990,105.313667297363
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1991,57.826
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,18.2983212940893
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1991,3.23997624716531
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1991,103.02709197998
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1992,57.095
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,18.3803510644475
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1992,3.06483168454324
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1992,101.50138092041
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1993,56.668
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,18.4500145151536
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1993,2.96883713169678
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1993,100.392936706543
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1994,56.101
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,18.5149411548647
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1994,2.903399231403
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1994,96.3266296386719
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1995,55.856
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,18.5827604922377
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1995,2.83906557159965
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1995,93.3242416381836
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1996,55.575
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,18.6611020359295
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1996,2.75278021555245
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1997,55.478
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,18.7575952945971
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1997,2.73276496655617
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1998,55.568
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,18.8798697768976
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1998,2.75957646009425
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1998,92.9180221557617
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1999,55.866
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,19.0288523643308
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1999,2.88430050146184
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,1999,90.6962814331055
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,56.084
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,19.4553832211834
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2000,3.01293994477925
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2000,94.2572402954102
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,56.501
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,20.4416297068833
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2001,3.13629206541925
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2001,95.1509170532227
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,56.759
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,21.8586568137501
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2002,3.14626442047843
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2002,89.2491912841797
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,57.369
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,23.563889811899
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2003,3.08528898836117
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2003,103.90389251709
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2004,57.947
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,25.4147539714454
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2004,3.10482476419105
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2004,103.729431152344
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2005,58.51
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,27.2686745625048
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2005,3.07223123352542
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2005,103.62956237793
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2006,59.059
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,28.9830768551925
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2006,3.04704867411558
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2006,101.201988220215
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2007,59.407
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,30.4153861196239
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2007,3.02220921188685
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2007,107.582710266113
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2008,59.955
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,31.4230276259143
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2008,3.02964938264436
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2008,107.076469421387
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2009,60.483
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,31.8603086707305
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2009,3.0211086032266
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2009,107.945739746094
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2010,60.915
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,31.8713287706458
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2010,2.90158845467743
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2011,61.283
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,31.8673949025409
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2011,2.75013743696978
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2012,61.537
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,31.8558130142761
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2012,2.6080744180495
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2012,111.422226680456
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,61.729
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,31.8324454433988
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2013,2.47210752389349
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,61.99
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,31.7931545274563
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2014,2.33901192230694
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,107.141220092773
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,62.279
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,31.7338026039958
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2015,2.2270329432256
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,104.780090332031
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,62.526
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,31.6502520105647
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2016,2.20775684612709
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,104.114852905273
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,62.725
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,31.5383650847102
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2017,2.17412854990493
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2017,101.957891317521
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2018,62.825
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,31.3940041639796
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2018,2.03083744189606
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2018,99.770420205161
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2019,62.939
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,31.1895566421135
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2019,1.96381549826771
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2019,77.5132254988803
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2020,61.596
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,31.2063494632616
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2020,1.96197633664853
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2020,91.9542486020668
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2021,61.225
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,31.2879334021971
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2021,1.90040858948898
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2021,93.7669067632864
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2022,63.549
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,31.4307820066946
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2022,1.92297608206469
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2022,98.551967362001
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2023,63.646
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,31.6330340816429
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2023,1.98296028478422
Kenya,KEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2023,98.2483475806861
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2024,63.834
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,31.8937831721599
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2024,1.95751431565234
